Ann�e;libelle_geographique;code_insee;Population_municipale;Depenses_culturelles_totales (K�);Budget_Total_commune (K�)
2019;B�gard;22004;4808;827;4800
2020;BEGARD;22004;4900;886;
2020;LE MENE;22046;6522;232;
2019;Le Men�;22046;6406;293;11133
2019;Dinan;22050;14281;2959;22398
2020;DINAN;22050;14867;1831;
2019;Erquy;22054;3916;182;5874
2020;ERQUY;22054;4008;557;
2019;Binic-�tables-sur-Mer;22055;7006;288;9071
2020;BINIC-ETABLES-SUR-MER;22055;7223;446;
2019;Guingamp;22070;7022;1981;10845
2020;GUINGAMP;22070;7561;2481;
2019;Hillion;22081;4160;257;4798
2020;HILLION;22081;4257;280;
2020;LAMBALLE ARMOR;22093;17216;1848;
2019;Lamballe-Armor;22093;16742;1664;17787
2020;LANGUEUX;22106;8037;885;
2019;Langueux;22106;7776;988;12165
2019;Lannion;22113;20040;2078;27405
2020;LANNION;22113;20975;2216;
2019;Lanvallay;22118;4191;118;3718
2020;LANVALLAY;22118;4287;85;
2019;Loud�ac;22136;9600;1773;12389
2020;LOUDEAC;22136;9985;1740;
2020;PAIMPOL;22162;7513;650;
2019;Paimpol;22162;7178;677;10521
2020;PERROS-GUIREC;22168;7261;1051;
2019;Perros-Guirec;22168;7065;1220;14331
2019;Plaintel;22171;4394;107;4856
2020;PLAINTEL;22171;4484;127;
2020;PLEDRAN;22176;6863;464;
2019;Pl�dran;22176;6753;498;7837
2020;PLEMET;22183;3796;67;
2019;Pl�met;22183;3671;64;4365
2020;PLENEUF-VAL-ANDRE;22186;4207;121;
2019;Pl�neuf-Val-Andr�;22186;4078;242;8764
2019;Pl�rin;22187;14158;1349;19371
2020;PLERIN;22187;14642;1268;
2019;Pleslin-Trigavou;22190;3699;224;4743
2020;PLESLIN-TRIGAVOU;22190;3774;469;
2019;Plestin-les-Gr�ves;22194;3605;424;4959
2020;PLESTIN-LES-GREVES;22194;3703;365;
2020;PLEUMEUR-BODOU;22198;4046;90;
2019;Pleumeur-Bodou;22198;3881;160;4358
2019;Ploeuc-L'Hermitage;22203;4088;16;5562
2020;PLOEUC-L'HERMITAGE;22203;4165;12;
2019;Ch�telaudren-Plouagat;22206;3888;71;4447
2020;CHATELAUDREN PLOUAGAT;22206;3943;82;
2020;BEAUSSAIS SUR MER;22209;3672;32;
2019;Ploubezre;22211;3638;51;2373
2020;PLOUBEZRE;22211;3753;158;
2019;Plou�r-sur-Rance;22213;3539;212;4541
2020;PLOUER-SUR-RANCE;22213;3646;194;
2019;Ploufragan;22215;11489;1563;14623
2020;PLOUFRAGAN;22215;11850;2824;
2020;PLOUHA;22222;4610;231;
2019;Plouha;22222;4522;217;4947
2019;Ploumagoar;22225;5397;245;4324
2020;PLOUMAGOAR;22225;5510;243;
2020;PORDIC;22251;7433;503;
2019;Pordic;22251;7228;518;8284
2019;Quessoy;22258;3809;101;4559
2020;QUESSOY;22258;4033;121;
2020;QUEVERT;22259;3934;144;
2019;Qu�vert;22259;3824;136;4187
2020;SAINT-BRIEUC;22278;45721;7312;
2019;Saint-Brieuc;22278;44170;7914;78109
2019;Tr�beurden;22343;3618;501;6927
2020;TREBEURDEN;22343;3744;291;
2019;Tr�gueux;22360;8447;1237;9662
2020;TREGUEUX;22360;8613;1108;
2019;Yffiniac;22389;5000;248;6207
2020;YFFINIAC;22389;5104;266;
2019;Audierne;29003;3692;49;6532
2020;AUDIERNE;29003;3758;131;
2019;Bannalec;29004;5663;252;7802
2020;BANNALEC;29004;5821;839;
2019;B�nodet;29006;3584;374;6220
2020;BENODET;29006;3646;289;
2020;BOHARS;29011;3601;173;
2019;Bohars;29011;3516;419;2667
2019;Bourg-Blanc;29015;3560;104;3856
2020;BOURG-BLANC;29015;3623;107;
2020;BREST;29019;142278;13148;
2019;Brest;29019;139602;14072;131386
2020;BRIEC;29020;5746;106;
2019;Briec;29020;5633;182;5860
2019;Carhaix-Plouguer;29024;7164;915;11835
2020;CARHAIX-PLOUGUER;29024;7776;939;
2019;Ch�teaulin;29026;5189;729;8052
2020;CHATEAULIN;29026;5629;699;
2019;Ch�teauneuf-du-Faou;29027;3665;248;3675
2020;CHATEAUNEUF-DU-FAOU;29027;3765;205;
2020;CLEDER;29030;3848;5;
2019;Cl�der;29030;3731;5;3512
2020;CLOHARS-CARNOET;29031;4543;668;
2019;Clohars-Carno�t;29031;4432;682;6851
2020;COMBRIT;29037;4261;99;
2019;Combrit;29037;4138;125;5447
2020;CONCARNEAU;29039;20354;2355;
2019;Concarneau;29039;19502;2040;25925
2019;Crozon;29042;7415;197;8846
2020;CROZON;29042;7635;131;
2019;Douarnenez;29046;14015;3858;21869
2020;DOUARNENEZ;29046;14383;3336;
2019;Ergu�-Gab�ric;29051;8313;477;12868
2020;ERGUE-GABERIC;29051;8513;420;
2019;Fouesnant;29058;9668;2772;15607
2020;FOUESNANT;29058;10143;3354;
2020;GOUESNOU;29061;6299;695;
2019;Gouesnou;29061;6166;379;7472
2019;Guilers;29069;7987;475;6306
2020;GUILERS;29069;8145;426;
2019;Guipavas;29075;14842;1246;12874
2020;GUIPAVAS;29075;15194;1073;
2020;MILIZAC-GUIPRONVEL;29076;4586;126;
2019;Milizac-Guipronvel;29076;4521;106;4536
2019;Land�da;29101;3572;248;3546
2020;LANDEDA;29101;3683;232;
2019;Landerneau;29103;15914;2455;15788
2020;LANDERNEAU;29103;16527;2038;
2019;Landivisiau;29105;9142;960;12655
2020;LANDIVISIAU;29105;9462;993;
2020;LANNILIS;29117;5768;217;
2019;Lannilis;29117;5651;224;5828
2019;Lesneven;29124;7306;446;7331
2020;LESNEVEN;29124;7535;592;
2019;Locmaria-Plouzan�;29130;5089;258;5399
2020;LOCMARIA-PLOUZANE;29130;5219;186;
2020;LOCTUDY;29135;4158;1130;
2019;Loctudy;29135;4050;511;5980
2019;Loperhet;29140;3835;281;3413
2020;LOPERHET;29140;3920;243;
2020;MOELAN-SUR-MER;29150;6898;1443;
2019;Mo�lan-sur-Mer;29150;6765;497;8354
2020;MORLAIX;29151;15204;6061;
2019;Morlaix;29151;14729;2939;25974
2019;Penmarch;29158;5142;492;8200
2020;PENMARCH;29158;5245;460;
2019;Plabennec;29160;8465;801;11803
2020;PLABENNEC;29160;8628;469;
2019;Pleyben;29162;3656;505;3455
2020;PLEYBEN;29162;3921;709;
2019;Plobannalec-Lesconil;29165;3521;0;4002
2020;PLOMELIN;29170;4351;11;
2019;Plomelin;29170;4187;14;3200
2020;PLOMEUR;29171;3874;26;
2019;Plomeur;29171;3800;26;3147
2020;PLONEOUR-LANVERN;29174;6332;25;
2019;Plon�our-Lanvern;29174;6147;16;4791
2020;PLOUARZEL;29177;3873;75;
2019;Plouarzel;29177;3784;181;4613
2020;PLOUDALMEZEAU;29178;6420;501;
2019;Ploudalm�zeau;29178;6292;398;7417
2019;Ploudaniel;29179;3719;52;4145
2020;PLOUDANIEL;29179;3836;35;
2020;PLOUESCAT;29185;3564;49;
2019;Plouescat;29185;3471;207;4434
2020;PLOUGASTEL-DAOULAS;29189;13697;1234;
2019;Plougastel-Daoulas;29189;13330;1154;12139
2019;Plougonvelin;29190;4179;277;4449
2020;PLOUGONVELIN;29190;4283;315;
2019;Plougonven;29191;3477;0;3390
2020;PLOUGUERNEAU;29195;6752;662;
2019;Plouguerneau;29195;6623;689;8237
2020;PLOUHINEC;29197;4080;626;
2019;Plouhinec;29197;3960;1036;5561
2020;PLOUIGNEAU;29199;5264;70;
2019;Plouigneau;29199;5084;96;4496
2019;Plourin-l�s-Morlaix;29207;4489;225;3660
2020;PLOURIN-LES-MORLAIX;29207;4778;231;
2019;Plouvien;29209;3785;769;3717
2020;PLOUVIEN;29209;3888;227;
2019;Plouzan�;29212;12979;567;11476
2020;PLOUZANE;29212;13219;768;
2020;PLUGUFFAN;29216;4259;44;
2019;Pluguffan;29216;4157;56;4707
2020;PONT-L'ABBE;29220;8706;613;
2019;Pont-l'Abb�;29220;8310;951;10947
2019;Quimper;29232;63166;8634;70860
2020;QUIMPER;29232;65638;10951;
2019;Quimperl�;29233;12188;1614;14200
2020;QUIMPERLE;29233;12645;1394;
2020;RELECQ-KERHUON (LE );29235;11857;1126;
2019;Le Relecq-Kerhuon;29235;11625;1118;9099
