codeGare;nomGare;fret;voyageurs;nom commune;departement;code commune
87473512;MOUSTERU;N;O;BOURBRIAC;COTES-D'ARMOR;22013
87473074;BROONS;N;O;BROONS;COTES-D'ARMOR;22020
87473587;LES MAIS;N;O;CALLAC;COTES-D'ARMOR;22025
87473546;CALLAC;N;O;CALLAC;COTES-D'ARMOR;22025
87473066;CAULNES;N;O;CAULNES;COTES-D'ARMOR;22032
87478164;DINAN;N;O;DINAN;COTES-D'ARMOR;22050
87473553;LE PENITY;N;O;DUAULT;COTES-D'ARMOR;22052
87473207;GUINGAMP;O;O;GUINGAMP;COTES-D'ARMOR;22070
87473801;GOURLAND;N;O;GUINGAMP;COTES-D'ARMOR;22070
87473108;LAMBALLE;O;O;LAMBALLE-ARMOR;COTES-D'ARMOR;22093
87473264;LANDEBIA;N;O;LANDEBIA;COTES-D'ARMOR;22096
87478180;CORSEUL-LANGUENAN;N;O;LANGUENAN;COTES-D'ARMOR;22105
87473223;LANNION;N;O;LANNION;COTES-D'ARMOR;22113
87473561;CARNOET-LOCARN;O;O;LOCARN;COTES-D'ARMOR;22128
87473165;BELLE-ISLE-BEGARD;N;O;LOUARGAT;COTES-D'ARMOR;22135
87473389;LOUDEAC;O;N;LOUDEAC;COTES-D'ARMOR;22136
87473124;LA MEAUGON;N;O;LA MEAUGON;COTES-D'ARMOR;22144
87473868;PAIMPOL;N;O;PAIMPOL;COTES-D'ARMOR;22162
87473322;PLAINTEL;O;N;PLAINTEL;COTES-D'ARMOR;22171
87473272;PLANCOET;N;O;PLANCOET;COTES-D'ARMOR;22172
87473082;PLENEE-JUGON;O;O;PLENEE-JUGON;COTES-D'ARMOR;22185
87473090;PLESTAN;O;O;PLESTAN;COTES-D'ARMOR;22193
87478149;PLEUDIHEN;N;O;PLEUDIHEN-SUR-RANCE;COTES-D'ARMOR;22197
87473181;PLOUARET-TREGOR;N;O;PLOUARET;COTES-D'ARMOR;22207
87473827;BRELIDY-PLOUEC;N;O;PLOUEC-DU-TRIEUX;COTES-D'ARMOR;22212
87473538;PLOUGONVER;N;O;PLOUGONVER;COTES-D'ARMOR;22216
87473199;PLOUNERIN;O;O;PLOUNERIN;COTES-D'ARMOR;22227
87322347;TRAOU-NEZ;N;O;PLOURIVO;COTES-D'ARMOR;22233
87473876;FRYNAUDOUR;N;O;PLOURIVO;COTES-D'ARMOR;22233
87473850;LANCERF;N;O;PLOURIVO;COTES-D'ARMOR;22233
87473132;PLOUVARA-PLERNEUF;N;O;PLOUVARA;COTES-D'ARMOR;22234
87473520;PONT-MELVEZ;N;O;PONT-MELVEZ;COTES-D'ARMOR;22249
87473579;COAT-GUEGAN;N;O;PONT-MELVEZ;COTES-D'ARMOR;22249
87473843;PONTRIEUX;N;O;PONTRIEUX;COTES-D'ARMOR;22250
87473835;PONTRIEUX-HALTE;N;O;PONTRIEUX;COTES-D'ARMOR;22250
87473330;QUINTIN;O;N;SAINT-BRANDAN;COTES-D'ARMOR;22277
87473009;ST-BRIEUC;O;O;SAINT-BRIEUC;COTES-D'ARMOR;22278
87473041;LE LEGUE;O;N;SAINT-BRIEUC;COTES-D'ARMOR;22278
87473363;UZEL;O;N;SAINT-HERVE;COTES-D'ARMOR;22300
