insee;nom;nb_voisins;insee_voisins
22001;Allineuc;5;22203|22203|22384|22149|22009
22002;Andel;5;22093|22093|22044|22093|22093
22003;Aucaleuc;4;22259|22364|22388|22048
22004;Bégard;7;22041|22018|22310|22164|22135|22245|22254
22005;Belle-Isle-en-Terre;5;22135|22216|22129|22228|22359
22006;Berhet;4;22101|22141|22254|22034
22055;Binic;4;22251|22251|22117|22055
22008;Bobital;5;22280|22380|22082|22021|22364
22009;Le Bodéo;7;22099|22203|22203|22001|22149|22313|22073
22011;Boqueho;8;22234|22045|22126|22291|22289|22116|22206|22206
22012;La Bouillie;5;22242|22076|22077|22273|22054
22013;Bourbriac;9;22040|22271|22189|22139|22088|22138|22249|22072|22156
22014;Bourseul;7;22172|22048|22317|22084|22084|22205|22237
22015;Bréhand;8;22093|22093|22098|22332|22345|22346|22079|22258
22018;Brélidy;6;22269|22212|22095|22310|22004|22041
22019;Bringolo;7;22375|22182|22206|22206|22304|22150|22065
22020;Broons;6;22348|22391|22032|22240|22337|22369
22021;Brusvily;7;22364|22008|22082|22380|22239|22391|22342
22023;Bulat-Pestivien;5;22249|22138|22328|22025|22216
22024;Calanhel;5;22037|22025|22243|22231|22132
22025;Callac;7;22216|22023|22328|22052|22243|22024|22037
22026;Calorguen;7;22118|22035|22056|22274|22308|22380|22280
22027;Le Cambout;5;22241|56102|56102|56024|22288
22028;Camlez;7;22166|22221|22152|22042|22090|22363|22379
22029;Canihuel;8;22294|22386|22074|22047|22244|22334|22321|22092
22030;Caouënnec-Lanvézéac;5;22257|22034|22340|22113|22265
22031;Carnoët;11;22243|22052|22128|22344|22351|29205|29227|29227|29275|29012|22231
22032;Caulnes;8;22239|22069|22071|22036|22305|22240|22020|22391
22033;Caurel;7;22316|22295|22158|22158|56203|22107|22107
22034;Cavan;7;22257|22101|22006|22254|22245|22340|22030
22035;Les Champs-Géraux;5;22299|35225|22056|22026|22118
22036;La Chapelle-Blanche;5;22071|35171|35234|22305|22032
22037;La Chapelle-Neuve;5;22216|22025|22024|22132|22131
22206;Châtelaudren;2;22182|22206
22039;La Chèze;5;22183|22183|22241|56024|22275
22040;Coadout;5;22225|22271|22013|22156|22067
22041;Coatascorn;4;22269|22018|22004|22254
22042;Coatréven;6;22028|22152|22101|22110|22381|22090
22043;Coëtlogon;6;22062|56129|56257|22241|22183|22183
22044;Coëtmieux;7;22002|22093|22093|22093|22246|22081|22093
22045;Cohiniac;5;22234|22287|22059|22126|22011
22046;Collinée;4;22296|22046|22046|22046
22046;Le Mené;16;22296|22165|22185|22267|22053|22148|22333|22122|22183|22183|22155|22219|22219|22184|22346|22345
22047;Corlay;5;22074|22313|22316|22244|22029
22048;Corseul;11;22105|22339|22259|22003|22388|22315|22317|22318|22014|22172|22049
22049;Créhen;8;22209|22209|22209|22105|22048|22172|22311|22302
22050;Dinan;4;22118|22050|22259|22339
